Model,MSE,MAE,R2
LinearRegression,10549721686.159279,82657.946058922,0.9146454505138069
RobustRegression,61664910393.24919,199465.55955429235,0.5010881990728202
RidgeRegression,10549745186.670172,82659.67244409776,0.91464526037841
LassoRegression,10549717660.356377,82657.94662172231,0.9146454830853386
ElasticNet,15081376466.559593,99126.80843102593,0.8779812271613102
PolynomialRegression,10664698477.378294,83413.36423272327,0.9137152087019549
SGDRegressor,2.7795698574795514e+36,1.6524199445438597e+18,-2.248864377738306e+25
ANN,61483178705.6974,199352.92009859317,0.5025585341944281
RandomForest,14999771841.450218,98089.4265563204,0.8786414650537788
SVM,123546565157.52672,282947.68758691323,0.0004227861838135283
LGBM,13097708114.507051,92133.9888284538,0.8940304769478327
XGBoost,16138680641.877495,101565.19208841266,0.8694269046645823
KNN,60395811313.31432,198086.23684543537,0.5113560889227768
